storeid,lat,lon,country,display_name,road,house_number,city,state,suburb,postcode,category,type,osm_type,osm_id
366669,-35.846451,-71.5967463,,"Fashions Park, Independencia, Villa Sara Lamothe, Linares, Provincia de Linares, Región del Maule, 4300000, Chile",Independencia,,Linares,Región del Maule,,4300000,shop,clothes,way,1088956991.0
369195,-34.3931142,-72.0153181,,"Los Aromos, Población Santa Teresita, Pichilemu, Provincia de Cardenal Caro, Región del Libertador General Bernardo O'Higgins, 3220000, Chile",Los Aromos,,,Región del Libertador General Bernardo O'Higgins,,3220000,highway,secondary,way,391015070.0
369542,-34.9828,-71.2578599,,"Araucanía, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",,,Curicó,Región del Maule,,3341353,highway,residential,way,99814736.0
374533,-34.9739137,-71.2547882,,"La Pinta, Villa La Reina, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",La Pinta,,Curicó,Región del Maule,,3341353,highway,residential,way,563181107.0
161406,-34.98329926,-71.24160004,,"Farmacias Cruz Verde, Peña, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Peña,,Curicó,Región del Maule,,3342121,amenity,pharmacy,node,1469588039.0
203908,-34.97140121,-71.20400238,,"Calle A, Villa Pucará, Curicó, Provincia de Curicó, Región del Maule, 3400001, Chile",Calle A,,Curicó,Región del Maule,,3400001,highway,residential,way,98404245.0
243744,-34.9732806,-71.2495793,,"Las Tres Carabelas, Villa Costa Azul, Curicó, Provincia de Curicó, Región del Maule, 3341353, Chile",Las Tres Carabelas,,Curicó,Región del Maule,,3341353,highway,residential,way,99815462.0
257022,-34.57839966,-70.98840332,,"Ciclovía Av. Bernardo O'Higgins, Minuto Verde, Los Huertos, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071541, Chile",Ciclovía Av. Bernardo O'Higgins,,San Fernando,Región del Libertador General Bernardo O'Higgins,,3071541,highway,cycleway,way,560847777.0
277734,-34.98540115,-71.23480225,,"23, Estado, Caupolicán, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Estado,23,Curicó,Región del Maule,,3342121,place,house,way,100106336.0
349134,-34.99129868,-71.2338028,,"El Buen Chileno, Avenida Manso de Velasco, Caupolicán, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Avenida Manso de Velasco,,Curicó,Región del Maule,,3342121,shop,alcohol,node,1468867103.0
